Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Sun ,07/03/2010,41,8:20:00 PM,Al-Nassr,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,7,1,0,delayed match,Fahad Al-Oraini,Ibrahim Al-Debasi,Fahad Al-Amri,Meree Al-Awagi
Mon ,08/03/2010,26,8:20:00 PM,Al-Raed,Al-Ettifaq,King Abdullah Sport City Stadium,Buraidah,5,0,0,delayed match,Fahad Al-Mirdasi,Moaid Al-Sayeg,Ahmed Fakihi,Mohammed Al-Owais
Sun ,14/03/2010,121,8:30:00 PM,Al-Ahli,Al-Ittihad,Prince Abdullah Al-Faisal Stadium,Jeddah,21,0,1,,Khalil Al-Ghamdi,Yousef Merza,Ibrahim Al-Debasi,Abdelrahman Al-Malki
Sun ,14/03/2010,122,8:30:00 PM,Al-Ettifaq,Al-Qadsiah,Prince Mohamed bin Fahd Stadium,Dammam,21,0,2,,Abbas Ibrahim,Nawaf Al-Otaibi,Waleed Al-boaimi,Fahad Al-Oraini
Sun ,14/03/2010,123,8:30:00 PM,Al-Raed,Al-Wehda,King Abdullah Sport City Stadium,Buraidah,21,1,1,,Abdulrahman Al-Amri,Bader Al-Shamrani,Abdelraheem Al-Shamari,Turki Al-Khudair
Sun ,14/03/2010,124,8:30:00 PM,Al-Fateh,Al-Nassr,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,21,0,2,,Abdulrahman Al-Ahmri,Abdulaziz Al-Kathiri,Abdulwahab Al-Zahrani,Mohammed Al-Hoaish
Sun ,14/03/2010,125,8:30:00 PM,Al-Hazem,Najran,Alhazm Club Stadium,Al-Ras,21,3,1,,Abdelrahman Al-Qahtani,Moaid Al-Sayeg,Abdulaziz Al-Asmari,Mohammed Al-Nuhait
Sun ,14/03/2010,126,8:30:00 PM,Al-Shabab,Al-Hilal,King Fahad International Stadium,Riyadh,21,1,2,,Abdullah Al-Qahtani,Nassir Al-Mudhaffr,Ziad Al-Mansor,Daffer Al-Shehri
Thu ,18/03/2010,127,8:30:00 PM,Al-Nassr,Al-Raed,King Fahad International Stadium,Riyadh,22,4,2,,Khalil Al-Ghamdi,Nassir Al-Mudhaffr,Abdulaziz Al-Kathiri,Abdullah Al-Qahtani
Thu ,18/03/2010,128,8:30:00 PM,Al-Shabab,Al-Qadsiah,Prince Faisal bin Fahad Stadium,Riyadh,22,0,1,,Meree Al-Awagi,Yousef Merza,Ahmed Fakihi,Saad Al-Kathiri
