Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Thu ,07/04/2011,153,8:35:00 PM,Al-Qadsiah,Najran,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,22,2,3,,209,Abdulrahman Al-Amri,Nassir Al-Mudhaffr,Majed Al-Nasser,Abdulrahman Al-Ahmri
Fri ,08/04/2011,150,8:35:00 PM,Al-Taawoun,Al-Hazem,King Abdullah Sport City Stadium,Buraidah,22,2,0,,8144,Yahya Hazzazi,Abdulwahab Al-Zahrani,Saleh Al-Mutairi,Mohammed Al-Owais
Fri ,08/04/2011,154,8:35:00 PM,Al-Faisaly,Al-Fateh,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,22,1,2,,809,Mohammed Al-Nuhait,Bader Al-Shamrani,Fahad Al-Amri,Metref Al-Qahtani
Sun ,10/04/2011,148,8:35:00 PM,Al-Hilal,Al-Shabab,King Fahad International Stadium,Riyadh,22,2,1,,13203,MOEN Svein Oddvar,ANDAS Frank,HAGLUND Kim,Khaled Al-Teris
Sun ,10/04/2011,152,8:35:00 PM,Al-Ahli,Al-Nassr,Prince Abdullah Al-Faisal Stadium,Jeddah,22,0,0,,16167,Saad Al-Kathiri,Ibrahim Al-Debasi,Moaid Al-Sayeg,Khalil Al-Ghamdi
Sun ,10/04/2011,151,8:35:00 PM,Al-Wehda,Al-Ittihad,King Abdul Aziz Sport City Stadium,Makkah,22,1,2,,3036,Meree Al-Awagi,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Sami Al-Nemri
Thu ,21/04/2011,155,8:40:00 PM,Al-Taawoun,Al-Faisaly,King Abdullah Sport City Stadium,Buraidah,23,4,1,,5201,Sami Al-Nemri,Abdullah Al-Shlwi,Abdelraheem Al-Shamari,Turki Al-Khudair
Thu ,21/04/2011,156,8:40:00 PM,Al-Hazem,Al-Ettifaq,Alhazm Club Stadium,Al-Ras,23,1,4,,6,Abdulaziz Al-Funaitel,Saleh Al-Mutairi,Abdulaziz Al-Slom,Mohammed Al-Owais
Fri ,22/04/2011,157,8:40:00 PM,Al-Raed,Al-Qadsiah,King Abdullah Sport City Stadium,Buraidah,23,1,4,,9100,Fahad Al-Oraini,Nassir Al-Mudhaffr,Moaid Al-Sayeg,Mohammed Al-Nuhait
Fri ,22/04/2011,158,8:40:00 PM,Najran,Al-Wehda,AlAkhdoud Club Stadium,Najran,23,1,5,,1655,Metref Al-Qahtani,Bader Al-Shamrani,Yahya Al-Meteq,Amer Al-Shehri
Sun ,24/04/2011,159,8:40:00 PM,Al-Nassr,Al-Hilal,King Fahad International Stadium,Riyadh,23,0,1,,10654,GIL Pawel,BORKOWSKI Marcin,Pawel Wysocki,Abdulaziz Al-Funaitel
Sun ,24/04/2011,161,8:40:00 PM,Al-Ittihad,Al-Fateh,Prince Abdullah Al-Faisal Stadium,Jeddah,23,2,0,,648,Saleh Al-Hathlool,Khaled Al-Degairi,Saleh Al-Shehri,Abdelrahman Al-Malki
Mon ,25/04/2011,160,8:40:00 PM,Al-Shabab,Al-Ahli,Prince Faisal bin Fahad Stadium,Riyadh,23,2,1,,595,Abdulrahman Al-Amri,Ibrahim Al-Debasi,Abdulaziz Al-Kathiri,Yahya Al-Qarni
